,INSPECTION,YELP,RATIO
0,american legion dept of minnesota,the howe daily kitchen & bar,0.19672131147540983
1,asian avenue,noodles & company,0.20689655172413793
2,black walnut bakery,mollie stone's,0.24242424242424243
3,bonchon dinky,pizza hut,0.09090909090909091
4,buzz mart,sneaky pete's,0.18181818181818182
5,cafe donuts & cool cups yogurt,starbucks,0.10256410256410256
6,cafe finspang,mapps coffee,0.24
7,cafeteria las tapatias,sf badlands,0.24242424242424243
8,carbon,the basement bar,0.18181818181818182
9,cooks of crocus hill,red cow - minneapolis,0.1951219512195122
10,crescent moon bakery,football pizza,0.23529411764705882
11,"double danger, llc",tilt pinball bar,0.23529411764705882
12,downtown residence inn,candyland,0.1935483870967742
13,duck duck coffee,everett's foods & meats,0.20512820512820512
14,el taco riendo,costa blanca bistro,0.24242424242424243
15,exchange nightclub/alibi lounge,mollie stone's,0.17777777777777778
16,fast eddies pizza,xin wong,0.08
17,fire box deli,camden tavern and grill,0.16666666666666666
18,fish bowl poke,ramen kazama,0.15384615384615385
19,flagsmash,graze,0.14285714285714285
20,floating world cafe,el nuevo rodeo restaurant,0.18181818181818182
21,gardens of salonica,spitz,0.16666666666666666
22,graze provisions and libations/graze,graze,0.24390243902439024
23,hip pop gourmet popcorn,bluestem bar,0.11428571428571428
24,ie,ie italian eatery,0.21052631578947367
25,jalapeno mexican grill,the simple sandwich,0.1951219512195122
26,jimmy john's,angel food bakery & coffee bar,0.14285714285714285
27,keys at the foshay bar & grill,prohibition,0.0975609756097561
28,kitchen in the market,panaderia el mexicano,0.23809523809523808
29,la loma tamales,panaderia el mexicano,0.2222222222222222
30,la michoacana purepecha,steamship coffee & games,0.1702127659574468
31,le pot,kung fu tea - dinkytown,0.20689655172413793
32,little caesars pizza,teppanyaki grill & supreme buffet,0.18867924528301888
33,little caesars pizza,mcdonald's,0.13333333333333333
34,loose wiles freehouse,parlour,0.21428571428571427
35,lu's restaurant,graze,0.2
36,mediterranean deli & cafe,campus cafe - turkish grill,0.23076923076923078
37,mini olympic cafe,thirsty whale bakery,0.21621621621621623
38,minnesota mullets,ideal diner,0.21428571428571427
39,my burger,di napoli cafe,0.17391304347826086
40,nibbles,zelo,0.18181818181818182
41,one stop,mr bbq express,0.18181818181818182
42,penn gas stop,broadway liquor outlet,0.11428571428571428
43,raag progressive indian restaurant,raag,0.21052631578947367
44,rebel donut bar,sleepy v's,0.24
45,saint genevieve,george & the dragon,0.17647058823529413
46,simpls,glam doll donuts,0.09090909090909091
47,subway,taco bell,0.13333333333333333
48,subway,five guys,0.13333333333333333
49,taco bell #3371,uptown pizza,0.14814814814814814
50,taqueria los ocampo,manny's tortas,0.18181818181818182
51,taqueria victor hugo,el chilo tacos,0.23529411764705882
52,tasty treats and fancy sweets,blackeye roasting,0.17391304347826086
53,tea house chinese restaurant,legendary spice,0.23255813953488372
54,the 508,508 bar & restaurant,0.2222222222222222
55,the southern theater,minneapolis town hall brewery,0.20408163265306123
56,twin cities vegetable  & fruit,the lynhall,0.14634146341463414
57,y'all come back saloon,union rooftop,0.17142857142857143
58,yogurt lab,ben & jerryâ€™s,0.08695652173913043
